Firstname,Lastname,Phone,Sex,Emergency Contact,Division,Status
Ephrata,Shiferaw,0922181502,M,0911558956,Data Analytics,Present
Abdisa,Merga,0939167494,M,0916158546,Emerging,Absent
Naod,Lulu,0978564534,M,0922334455,Communication,Absent
Abiy ,Ahmed,0911445567,M,0956453422,Communication,Absent
Sahlework,Zewde,0911356644,F,0978654532,Data Science,Absent
Naod,Lulu,0974563455,M,0923456787,Emerging,Absent
Bilen,Mehalek,0945657834,M,0956789841,AI,Absent
Edaso,Guja,0987654321,M,0978654543,Emerging,Absent
Eyasu,Adnew,0967568743,M,0967454466,Communication,Absent
Kaleab,Abduke,0998097811,M,0911225577,Emerging,Absent
